Id,Fecha,Ruta,Operador,Trayecto,Modelo del Avion,Registro,Total a Bordo,Pasajeros a bordo,Tripulantes a bordo,Total Fallecidos,Fatalidad Pasajeros,Fatalidad Tripulantes,Fatalidad en Tierra,Año,Tipo de Operador,Origen
410,1936-03-05,"Tengya,China",China National Aviation Corporation,Desconocido,Ford 5-AT-D Tri-Motor,Sin Dato,6,3,3,0,0,0,0,1936,Comercial,No encontrado
411,1936-03-14,"Ovalle,Chile",Lan Chile,Desconocido,Fairchild FC-2,19,5,4,1,5,4,1,0,1936,Comercial,No encontrado
412,1936-03-26,"Amemeca,Mexico",Mexicana,Mexico - Guatemala,Ford 5-AT-B Tri Motor,XA-BCB,14,10,4,14,10,4,0,1936,Comercial,Mexico
413,1936-04-01,"Pavilion,New York",American Airlines,Newwark - Buffalo,Stinson Model A,NC15152,2,0,2,2,0,2,0,1936,Comercial,United States
414,1936-04-07,"Uniontown,Pennsylvania",Trans Continental and Western Air,Newark - Los Angeles,Douglas DC-2-112,NC13721,14,11,3,12,10,2,0,1936,Comercial,United States
415,1936-04-11,"Port of Spain,Trinidad",Pan American Airways,Miami - Rio de Janeiro,Sikorsky S-42A  Flying Boat,NC1537,25,18,7,3,2,1,0,1936,Comercial,United States
416,1936-04-15,"Turin,Italy",Avio Linee Italiane,Turin - Milan,OFM F-VIIb/3m,I-AAXZ,7,5,2,7,5,2,0,1936,Comercial,Italy
417,1936-04-17,"Orvin,Switzerland",Deutsche Lufthansa,Test flight,Junkers JU-52,D-ASOR,5,0,5,3,0,3,0,1936,Comercial,Germany
418,1936-04-21,"Senlis,France",Sabena,Paris - Brussels - Cologne,Fokker F-VII,OO-AIF,2,0,2,2,0,2,0,1936,Comercial,Belgium
419,1936-04-30,"Basel,Switzerland",Swissair,Desconocido,General Aviation GA-43,HB-ITU,2,0,2,2,0,2,0,1936,Comercial,Liechtenstein
420,1936-05-16,"Mount Waverley,Australia",Holymans Airways,Training,De Havilland DH-60 Moth,VH-UII,2,0,2,2,0,2,0,1936,Comercial,Australia
421,1936-06-09,"Malmo,Sweden",A B Aerotransport,Malmo - Amsterdam,Fokker F-XXII,SE-ABA,15,11,4,1,1,0,0,1936,Comercial,Sweden
422,1936-06-13,"Hannover,Germany",Deutsche Lufthansa,Desconocido,Junkers JU-160,D-UPYM,6,4,2,1,1,0,0,1936,Comercial,Germany
423,1936-06-16,"Mt. Lihesten,Norway",Den Norske Luftfartskole,Bergen - Trondheim,Junkers JU-52/3m,LN-DAE,7,3,4,7,3,4,0,1936,Comercial,Norway
424,1936-07-15,"Zagreb,Croatia",Aeroput,Belgrade - Zagreb - Ljubljana,Spartan Cruiser,YU-SAP,7,5,2,7,5,2,0,1936,Comercial,Serbia
425,1936-07-28,"Kulyab,Tajikistan",Aeroflot,Desconocido,Tupolev ANT-9,Sin Dato,6,4,2,6,4,2,0,1936,Comercial,No encontrado
